annual_revenue,billing,billing.amount,billing.currency,billing.plan,created_at,domain,email,employee_count,id,industry,integrations,integrations.hubspot,integrations.salesforce,integrations.slack,metadata,metadata.account_manager,metadata.priority,metadata.region,metadata.support_level,metadata.tier,name,updated_at
136492411,,,,,2023-01-12T00:00:00Z,urbanplanning.example,contact13@urbanplanning.example,538,1013,consulting,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Morgan Davis"", ""region"": ""south"", ""priority"": 4}",Morgan Davis,4,south,premium,professional,Urban Planning Consultants #13,2023-04-05T00:00:00Z
194516964,"{""plan"": ""annual"", ""amount"": 5374, ""currency"": ""USD""}",5374,USD,annual,2023-05-11T00:00:00Z,renewableresources.example,contact14@renewableresources.example,600,1014,energy,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Morgan Davis"", ""region"": ""east"", ""priority"": 5}",Morgan Davis,5,east,standard,starter,Renewable Resources Corp #14,2023-11-17T00:00:00Z
16620518,,,,,2023-09-02T00:00:00Z,mobileapp.example,contact15@mobileapp.example,68,1015,mobile,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Lisa Wang"", ""region"": ""east"", ""priority"": 1}",Lisa Wang,1,east,premium,starter,Mobile App Development #15,2024-01-14T00:00:00Z
1936593,"{""plan"": ""monthly"", ""amount"": 776, ""currency"": ""USD""}",776,USD,monthly,2023-12-30T00:00:00Z,dataanalytics.example,contact16@dataanalytics.example,860,1016,analytics,"{""salesforce"": true, ""hubspot"": true, ""slack"": true}",True,True,True,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""east"", ""priority"": 2}",Emily Rodriguez,2,east,premium,enterprise,Data Analytics Firm #16,2024-06-20T00:00:00Z
51966003,,,,,2023-07-23T00:00:00Z,cybersecurity.example,contact17@cybersecurity.example,123,1017,security,"{""salesforce"": false, ""hubspot"": true, ""slack"": true}",True,False,True,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""David Kim"", ""region"": ""north"", ""priority"": 4}",David Kim,4,north,basic,professional,Cybersecurity Solutions #17,2023-10-22T00:00:00Z
4922546,,,,,2023-02-09T00:00:00Z,ecommerce.example,contact18@ecommerce.example,599,1018,retail,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""David Kim"", ""region"": ""west"", ""priority"": 1}",David Kim,1,west,premium,professional,E-commerce Platform #18,2023-06-28T00:00:00Z
36436782,,,,,2023-06-14T00:00:00Z,airesearch.example,contact19@airesearch.example,969,1019,research,"{""salesforce"": true, ""hubspot"": true, ""slack"": true}",True,True,True,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Morgan Davis"", ""region"": ""central"", ""priority"": 1}",Morgan Davis,1,central,premium,starter,AI Research Institute #19,2023-09-06T00:00:00Z
67278857,,,,,2023-11-07T00:00:00Z,techsolutions.example,contact20@techsolutions.example,390,1020,technology,"{""salesforce"": true, ""hubspot"": true, ""slack"": false}",True,True,False,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Lisa Wang"", ""region"": ""north"", ""priority"": 3}",Lisa Wang,3,north,basic,enterprise,Tech Solutions Inc #20,2024-05-11T00:00:00Z
139584180,"{""plan"": ""annual"", ""amount"": 9400, ""currency"": ""USD""}",9400,USD,annual,2023-09-26T00:00:00Z,greenenergy.example,contact21@greenenergy.example,994,1021,renewable_energy,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Sarah Johnson"", ""region"": ""central"", ""priority"": 5}",Sarah Johnson,5,central,standard,professional,Green Energy Co #21,2024-02-15T00:00:00Z
111284847,"{""plan"": ""annual"", ""amount"": 7478, ""currency"": ""USD""}",7478,USD,annual,2023-11-01T00:00:00Z,creativedesign.example,contact22@creativedesign.example,51,1022,design,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Michael Chen"", ""region"": ""south"", ""priority"": 2}",Michael Chen,2,south,standard,professional,Creative Design Studio #22,2024-02-28T00:00:00Z
81379505,"{""plan"": ""monthly"", ""amount"": 5305, ""currency"": ""USD""}",5305,USD,monthly,2024-01-03T00:00:00Z,globallogistics.example,contact23@globallogistics.example,946,1023,logistics,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Casey Miller"", ""region"": ""central"", ""priority"": 3}",Casey Miller,3,central,premium,professional,Global Logistics LLC #23,2024-05-03T00:00:00Z
90673302,,,,,2023-05-21T00:00:00Z,healthwellness.example,contact24@healthwellness.example,802,1024,healthcare,"{""salesforce"": false, ""hubspot"": true, ""slack"": true}",True,False,True,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Michael Chen"", ""region"": ""south"", ""priority"": 4}",Michael Chen,4,south,basic,enterprise,Health & Wellness Center #24,2023-08-31T00:00:00Z
147203090,,,,,2023-11-18T00:00:00Z,innovativesoftware.example,contact25@innovativesoftware.example,438,1025,software,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Sarah Johnson"", ""region"": ""west"", ""priority"": 3}",Sarah Johnson,3,west,basic,starter,Innovative Software Labs #25,2024-02-08T00:00:00Z
191310613,"{""plan"": ""monthly"", ""amount"": 9360, ""currency"": ""USD""}",9360,USD,monthly,2023-02-25T00:00:00Z,artisancoffee.example,contact26@artisancoffee.example,988,1026,food_beverage,"{""salesforce"": true, ""hubspot"": false, ""slack"": true}",False,True,True,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Jordan Lee"", ""region"": ""south"", ""priority"": 4}",Jordan Lee,4,south,premium,enterprise,Artisan Coffee Roasters #26,2023-06-10T00:00:00Z
185504873,"{""plan"": ""monthly"", ""amount"": 4589, ""currency"": ""USD""}",4589,USD,monthly,2023-11-10T00:00:00Z,edupublishing.example,contact27@edupublishing.example,801,1027,education,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Sarah Johnson"", ""region"": ""east"", ""priority"": 5}",Sarah Johnson,5,east,basic,starter,Educational Publishing House #27,2024-02-20T00:00:00Z
87467273,,,,,2023-03-12T00:00:00Z,sustainablefashion.example,contact28@sustainablefashion.example,32,1028,fashion,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Michael Chen"", ""region"": ""south"", ""priority"": 5}",Michael Chen,5,south,standard,enterprise,Sustainable Fashion Brand #28,2023-08-26T00:00:00Z
125531523,,,,,2023-11-05T00:00:00Z,advancedmfg.example,contact29@advancedmfg.example,115,1029,manufacturing,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Alex Thompson"", ""region"": ""south"", ""priority"": 5}",Alex Thompson,5,south,basic,professional,Advanced Manufacturing Corp #29,2023-12-16T00:00:00Z
92418688,"{""plan"": ""monthly"", ""amount"": 7394, ""currency"": ""USD""}",7394,USD,monthly,2023-08-28T00:00:00Z,digitalmarketing.example,contact30@digitalmarketing.example,124,1030,marketing,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Jordan Lee"", ""region"": ""west"", ""priority"": 3}",Jordan Lee,3,west,basic,starter,Digital Marketing Agency #30,2023-10-15T00:00:00Z
72111543,,,,,2023-09-07T00:00:00Z,cloudservices.example,contact31@cloudservices.example,140,1031,cloud_computing,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Jordan Lee"", ""region"": ""central"", ""priority"": 3}",Jordan Lee,3,central,standard,professional,Cloud Services Provider #31,2023-12-18T00:00:00Z
69118737,,,,,2023-11-13T00:00:00Z,biotechresearch.example,contact32@biotechresearch.example,787,1032,biotechnology,"{""salesforce"": true, ""hubspot"": false, ""slack"": true}",False,True,True,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""east"", ""priority"": 1}",Casey Miller,1,east,basic,enterprise,Biotech Research Lab #32,2023-12-28T00:00:00Z
166707288,,,,,2023-03-10T00:00:00Z,urbanplanning.example,contact33@urbanplanning.example,884,1033,consulting,"{""salesforce"": false, ""hubspot"": true, ""slack"": false}",True,False,False,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Taylor Brown"", ""region"": ""north"", ""priority"": 3}",Taylor Brown,3,north,standard,enterprise,Urban Planning Consultants #33,2023-07-26T00:00:00Z
25779428,,,,,2023-02-13T00:00:00Z,renewableresources.example,contact34@renewableresources.example,586,1034,energy,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Lisa Wang"", ""region"": ""west"", ""priority"": 1}",Lisa Wang,1,west,basic,professional,Renewable Resources Corp #34,2023-03-03T00:00:00Z
150098258,,,,,2023-09-19T00:00:00Z,mobileapp.example,contact35@mobileapp.example,729,1035,mobile,"{""salesforce"": false, ""hubspot"": true, ""slack"": true}",True,False,True,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""north"", ""priority"": 2}",Casey Miller,2,north,basic,enterprise,Mobile App Development #35,2023-11-07T00:00:00Z
154925976,,,,,2023-01-19T00:00:00Z,dataanalytics.example,contact36@dataanalytics.example,731,1036,analytics,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Michael Chen"", ""region"": ""south"", ""priority"": 2}",Michael Chen,2,south,standard,professional,Data Analytics Firm #36,2023-02-09T00:00:00Z
142800048,,,,,2024-03-09T00:00:00Z,cybersecurity.example,contact37@cybersecurity.example,316,1037,security,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Casey Miller"", ""region"": ""east"", ""priority"": 1}",Casey Miller,1,east,standard,enterprise,Cybersecurity Solutions #37,2024-08-15T00:00:00Z
64121489,,,,,2023-04-12T00:00:00Z,ecommerce.example,contact38@ecommerce.example,596,1038,retail,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""central"", ""priority"": 1}",Emily Rodriguez,1,central,standard,enterprise,E-commerce Platform #38,2023-09-21T00:00:00Z
23252458,,,,,2023-04-18T00:00:00Z,airesearch.example,contact39@airesearch.example,936,1039,research,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""David Kim"", ""region"": ""west"", ""priority"": 5}",David Kim,5,west,premium,starter,AI Research Institute #39,2023-09-18T00:00:00Z
83677060,,,,,2024-02-11T00:00:00Z,techsolutions.example,contact40@techsolutions.example,498,1040,technology,"{""salesforce"": false, ""hubspot"": true, ""slack"": true}",True,False,True,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Alex Thompson"", ""region"": ""south"", ""priority"": 5}",Alex Thompson,5,south,basic,enterprise,Tech Solutions Inc #40,2024-05-17T00:00:00Z
116873925,,,,,2023-08-05T00:00:00Z,greenenergy.example,contact41@greenenergy.example,82,1041,renewable_energy,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""central"", ""priority"": 4}",Casey Miller,4,central,basic,professional,Green Energy Co #41,2023-09-22T00:00:00Z
155988583,,,,,2023-07-25T00:00:00Z,creativedesign.example,contact42@creativedesign.example,269,1042,design,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""west"", ""priority"": 1}",Emily Rodriguez,1,west,standard,starter,Creative Design Studio #42,2023-10-08T00:00:00Z
180997987,,,,,2024-04-01T00:00:00Z,globallogistics.example,contact43@globallogistics.example,10,1043,logistics,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Casey Miller"", ""region"": ""south"", ""priority"": 5}",Casey Miller,5,south,standard,professional,Global Logistics LLC #43,2024-05-26T00:00:00Z
35848745,,,,,2023-06-27T00:00:00Z,healthwellness.example,contact44@healthwellness.example,127,1044,healthcare,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Morgan Davis"", ""region"": ""west"", ""priority"": 5}",Morgan Davis,5,west,standard,enterprise,Health & Wellness Center #44,2023-11-04T00:00:00Z
104238649,,,,,2024-01-14T00:00:00Z,innovativesoftware.example,contact45@innovativesoftware.example,172,1045,software,"{""salesforce"": true, ""hubspot"": false, ""slack"": false}",False,True,False,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""north"", ""priority"": 2}",Emily Rodriguez,2,north,basic,starter,Innovative Software Labs #45,2024-06-24T00:00:00Z
120051235,,,,,2023-08-02T00:00:00Z,artisancoffee.example,contact46@artisancoffee.example,721,1046,food_beverage,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Lisa Wang"", ""region"": ""central"", ""priority"": 5}",Lisa Wang,5,central,standard,enterprise,Artisan Coffee Roasters #46,2023-09-18T00:00:00Z
14983925,"{""plan"": ""monthly"", ""amount"": 2729, ""currency"": ""USD""}",2729,USD,monthly,2023-04-17T00:00:00Z,edupublishing.example,contact47@edupublishing.example,168,1047,education,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Taylor Brown"", ""region"": ""north"", ""priority"": 3}",Taylor Brown,3,north,basic,professional,Educational Publishing House #47,2023-08-20T00:00:00Z
102705760,,,,,2023-06-12T00:00:00Z,sustainablefashion.example,contact48@sustainablefashion.example,137,1048,fashion,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Alex Thompson"", ""region"": ""west"", ""priority"": 4}",Alex Thompson,4,west,premium,enterprise,Sustainable Fashion Brand #48,2023-11-27T00:00:00Z
160859495,,,,,2023-06-22T00:00:00Z,advancedmfg.example,contact49@advancedmfg.example,830,1049,manufacturing,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Casey Miller"", ""region"": ""east"", ""priority"": 2}",Casey Miller,2,east,premium,enterprise,Advanced Manufacturing Corp #49,2023-07-03T00:00:00Z
103151069,,,,,2023-07-19T00:00:00Z,digitalmarketing.example,contact50@digitalmarketing.example,48,1050,marketing,"{""salesforce"": false, ""hubspot"": false, ""slack"": false}",False,False,False,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Morgan Davis"", ""region"": ""central"", ""priority"": 4}",Morgan Davis,4,central,basic,professional,Digital Marketing Agency #50,2023-08-11T00:00:00Z
12665138,"{""plan"": ""monthly"", ""amount"": 8147, ""currency"": ""USD""}",8147,USD,monthly,2023-03-26T00:00:00Z,cloudservices.example,contact51@cloudservices.example,325,1051,cloud_computing,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""west"", ""priority"": 2}",Emily Rodriguez,2,west,premium,starter,Cloud Services Provider #51,2023-07-01T00:00:00Z
24312290,,,,,2023-10-08T00:00:00Z,biotechresearch.example,contact52@biotechresearch.example,934,1052,biotechnology,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""central"", ""priority"": 2}",Casey Miller,2,central,basic,enterprise,Biotech Research Lab #52,2024-01-10T00:00:00Z
110441938,,,,,2024-03-14T00:00:00Z,urbanplanning.example,contact53@urbanplanning.example,326,1053,consulting,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""central"", ""priority"": 1}",Emily Rodriguez,1,central,standard,enterprise,Urban Planning Consultants #53,2024-07-31T00:00:00Z
148798863,,,,,2023-02-24T00:00:00Z,renewableresources.example,contact54@renewableresources.example,621,1054,energy,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""central"", ""priority"": 5}",Casey Miller,5,central,basic,enterprise,Renewable Resources Corp #54,2023-07-30T00:00:00Z
25581855,"{""plan"": ""annual"", ""amount"": 6063, ""currency"": ""USD""}",6063,USD,annual,2023-06-02T00:00:00Z,mobileapp.example,contact55@mobileapp.example,117,1055,mobile,"{""salesforce"": true, ""hubspot"": true, ""slack"": false}",True,True,False,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Lisa Wang"", ""region"": ""north"", ""priority"": 1}",Lisa Wang,1,north,standard,enterprise,Mobile App Development #55,2023-10-06T00:00:00Z
180117798,,,,,2024-02-25T00:00:00Z,dataanalytics.example,contact56@dataanalytics.example,766,1056,analytics,,,,,"{""tier"": ""starter"", ""support_level"": ""premium"", ""account_manager"": ""Taylor Brown"", ""region"": ""south"", ""priority"": 2}",Taylor Brown,2,south,premium,starter,Data Analytics Firm #56,2024-07-13T00:00:00Z
96249349,,,,,2023-01-02T00:00:00Z,cybersecurity.example,contact57@cybersecurity.example,746,1057,security,"{""salesforce"": true, ""hubspot"": false, ""slack"": false}",False,True,False,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Jordan Lee"", ""region"": ""central"", ""priority"": 3}",Jordan Lee,3,central,standard,starter,Cybersecurity Solutions #57,2023-04-22T00:00:00Z
93894159,,,,,2023-06-15T00:00:00Z,ecommerce.example,contact58@ecommerce.example,336,1058,retail,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""north"", ""priority"": 5}",Emily Rodriguez,5,north,basic,enterprise,E-commerce Platform #58,2023-11-25T00:00:00Z
123932223,,,,,2023-05-24T00:00:00Z,airesearch.example,contact59@airesearch.example,481,1059,research,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Jordan Lee"", ""region"": ""east"", ""priority"": 5}",Jordan Lee,5,east,basic,starter,AI Research Institute #59,2023-10-31T00:00:00Z
3468983,"{""plan"": ""annual"", ""amount"": 6471, ""currency"": ""USD""}",6471,USD,annual,2023-09-22T00:00:00Z,techsolutions.example,contact60@techsolutions.example,396,1060,technology,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Taylor Brown"", ""region"": ""central"", ""priority"": 5}",Taylor Brown,5,central,basic,starter,Tech Solutions Inc #60,2024-04-02T00:00:00Z
180902733,,,,,2023-04-18T00:00:00Z,greenenergy.example,contact61@greenenergy.example,375,1061,renewable_energy,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Morgan Davis"", ""region"": ""south"", ""priority"": 3}",Morgan Davis,3,south,basic,starter,Green Energy Co #61,2023-05-14T00:00:00Z
12412548,,,,,2023-01-23T00:00:00Z,creativedesign.example,contact62@creativedesign.example,165,1062,design,"{""salesforce"": true, ""hubspot"": false, ""slack"": true}",False,True,True,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Morgan Davis"", ""region"": ""south"", ""priority"": 4}",Morgan Davis,4,south,standard,professional,Creative Design Studio #62,2023-02-04T00:00:00Z
111204818,,,,,2023-01-23T00:00:00Z,globallogistics.example,contact63@globallogistics.example,510,1063,logistics,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""west"", ""priority"": 2}",Emily Rodriguez,2,west,standard,professional,Global Logistics LLC #63,2023-05-16T00:00:00Z
117750749,,,,,2023-02-11T00:00:00Z,healthwellness.example,contact64@healthwellness.example,165,1064,healthcare,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Casey Miller"", ""region"": ""east"", ""priority"": 5}",Casey Miller,5,east,basic,professional,Health & Wellness Center #64,2023-04-19T00:00:00Z
17454813,,,,,2023-11-14T00:00:00Z,innovativesoftware.example,contact65@innovativesoftware.example,474,1065,software,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Taylor Brown"", ""region"": ""east"", ""priority"": 4}",Taylor Brown,4,east,standard,starter,Innovative Software Labs #65,2024-01-09T00:00:00Z
155094468,"{""plan"": ""monthly"", ""amount"": 9190, ""currency"": ""USD""}",9190,USD,monthly,2024-03-17T00:00:00Z,artisancoffee.example,contact66@artisancoffee.example,382,1066,food_beverage,,,,,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Sarah Johnson"", ""region"": ""north"", ""priority"": 5}",Sarah Johnson,5,north,basic,starter,Artisan Coffee Roasters #66,2024-08-20T00:00:00Z
22641012,,,,,2024-03-11T00:00:00Z,edupublishing.example,contact67@edupublishing.example,795,1067,education,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Michael Chen"", ""region"": ""east"", ""priority"": 5}",Michael Chen,5,east,standard,enterprise,Educational Publishing House #67,2024-05-10T00:00:00Z
133714780,,,,,2024-02-11T00:00:00Z,sustainablefashion.example,contact68@sustainablefashion.example,985,1068,fashion,,,,,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""south"", ""priority"": 1}",Emily Rodriguez,1,south,premium,professional,Sustainable Fashion Brand #68,2024-06-16T00:00:00Z
176069734,,,,,2023-01-03T00:00:00Z,advancedmfg.example,contact69@advancedmfg.example,697,1069,manufacturing,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""David Kim"", ""region"": ""central"", ""priority"": 4}",David Kim,4,central,standard,starter,Advanced Manufacturing Corp #69,2023-06-21T00:00:00Z
147557012,,,,,2023-10-14T00:00:00Z,digitalmarketing.example,contact70@digitalmarketing.example,221,1070,marketing,"{""salesforce"": true, ""hubspot"": false, ""slack"": false}",False,True,False,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Alex Thompson"", ""region"": ""east"", ""priority"": 4}",Alex Thompson,4,east,basic,starter,Digital Marketing Agency #70,2024-01-05T00:00:00Z
173449807,"{""plan"": ""annual"", ""amount"": 418, ""currency"": ""USD""}",418,USD,annual,2023-04-26T00:00:00Z,cloudservices.example,contact71@cloudservices.example,555,1071,cloud_computing,,,,,"{""tier"": ""professional"", ""support_level"": ""standard"", ""account_manager"": ""David Kim"", ""region"": ""east"", ""priority"": 4}",David Kim,4,east,standard,professional,Cloud Services Provider #71,2023-07-15T00:00:00Z
111286920,,,,,2023-08-11T00:00:00Z,biotechresearch.example,contact72@biotechresearch.example,53,1072,biotechnology,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Alex Thompson"", ""region"": ""north"", ""priority"": 3}",Alex Thompson,3,north,standard,enterprise,Biotech Research Lab #72,2023-09-03T00:00:00Z
